STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-44-6146-01	0.002	-0.018	-0.011	0.003
luad_tcga_pan_can_atlas_2018	TCGA-44-6148-01	-0.001	0.599	-0.011	0.001
luad_tcga_pan_can_atlas_2018	TCGA-44-6774-01	-0.09	0.071	0.267	0.089
luad_tcga_pan_can_atlas_2018	TCGA-44-6775-01	-0.23	-0.528	0.207	0.972
luad_tcga_pan_can_atlas_2018	TCGA-44-6776-01	0.004	-0.05	-0.049	0.01
luad_tcga_pan_can_atlas_2018	TCGA-44-6777-01	0.045	-0.218	-0.024	0.247
luad_tcga_pan_can_atlas_2018	TCGA-44-6778-01	0.013	-0.317	0.176	-0.042
luad_tcga_pan_can_atlas_2018	TCGA-44-6779-01	0.303	-0.35	-0.368	0.307
luad_tcga_pan_can_atlas_2018	TCGA-44-7659-01	0.004	0.02	-0.008	0
luad_tcga_pan_can_atlas_2018	TCGA-44-7660-01	0.155	-0.477	0.247	0.402
luad_tcga_pan_can_atlas_2018	TCGA-44-7661-01	0.91	-0.271	-0.081	0.272
luad_tcga_pan_can_atlas_2018	TCGA-44-7662-01	0.181	-0.138	0.297	0.37
luad_tcga_pan_can_atlas_2018	TCGA-44-7667-01	0.305	-0.247	0.229	0.223
luad_tcga_pan_can_atlas_2018	TCGA-44-7669-01	0.501	-0.033	0.331	0.363
luad_tcga_pan_can_atlas_2018	TCGA-44-7670-01	0.546	-0.177	1.71	-0.174
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	-0.431	0.032	0.377	0.079
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	2.8	0.056	0.294	0.087
luad_tcga_pan_can_atlas_2018	TCGA-44-8117-01	-0.208	-0.448	0.74	0.459
luad_tcga_pan_can_atlas_2018	TCGA-44-8119-01	0.091	-0.117	1.62	-0.188
luad_tcga_pan_can_atlas_2018	TCGA-44-8120-01	-0.445	-0.436	0.059	0.108
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	1.29	-0.098	0.526	0.279
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	0.26	-0.042	0.193	-0.005
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	0.62	-0.395	0.806	-0.376
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	-0.214	0.038	0.288	0.309
luad_tcga_pan_can_atlas_2018	TCGA-44-A47G-01	-0.053	0.064	-0.112	0.11
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SS-01	0.065	-0.012	0.009	0.174
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SU-01	-0.119	-0.042	0.404	1.29
luad_tcga_pan_can_atlas_2018	TCGA-49-4486-01	-0.018	-0.009	-0.027	-0.001
luad_tcga_pan_can_atlas_2018	TCGA-49-4487-01	0.092	0.036	0.385	0.095
luad_tcga_pan_can_atlas_2018	TCGA-49-4488-01	0.753	-0.088	-0.053	1.25
luad_tcga_pan_can_atlas_2018	TCGA-49-4490-01	-0.244	-0.14	-0.054	0.633
luad_tcga_pan_can_atlas_2018	TCGA-49-4494-01	-0.006	0.047	0.162	1.04
luad_tcga_pan_can_atlas_2018	TCGA-49-4501-01	-0.309	-0.35	0.236	0.637
luad_tcga_pan_can_atlas_2018	TCGA-49-4505-01	0.006	-0.34	0.031	0.318
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	0.057	-0.057	0.277	0.28
luad_tcga_pan_can_atlas_2018	TCGA-49-4507-01	0.5	-0.29	-0.103	0.083
luad_tcga_pan_can_atlas_2018	TCGA-49-4510-01	0.415	-0.186	0.246	0.46
luad_tcga_pan_can_atlas_2018	TCGA-49-4512-01	0.451	-0.483	0.691	1.43
luad_tcga_pan_can_atlas_2018	TCGA-49-4514-01	0.065	-0.015	0.334	0.014
luad_tcga_pan_can_atlas_2018	TCGA-49-6742-01	0.199	0.195	0.012	0.481
luad_tcga_pan_can_atlas_2018	TCGA-49-6743-01	-0.215	-0.241	-0.101	0.017
luad_tcga_pan_can_atlas_2018	TCGA-49-6744-01	0.058	-0.185	0.076	0.058
luad_tcga_pan_can_atlas_2018	TCGA-49-6745-01	3.09	-0.122	-0.154	0.384
luad_tcga_pan_can_atlas_2018	TCGA-49-6761-01	-0.032	-0.184	0.036	1.18
luad_tcga_pan_can_atlas_2018	TCGA-49-6767-01	0.387	-0.359	0.195	0.912
luad_tcga_pan_can_atlas_2018	TCGA-49-AAQV-01	-0.263	0.1	0.085	0.196
