STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-44-6774-01	0.6479	-0.9739	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6775-01	-0.3916	-0.2454	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6776-01	-1.3084	-0.8213	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6777-01	-0.5659	0.5308	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6778-01	0.176	-0.3984	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6779-01	0.0083	1.0133	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7659-01	-0.8853	-0.0449	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7660-01	-0.3504	-1.4527	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7661-01	-0.5736	-0.6041	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7662-01	-0.0682	-0.2224	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7667-01	-0.3632	1.7215	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7669-01	-0.9585	-1.1808	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7670-01	-0.2111	-1.1427	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	-0.8633	-0.5702	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	-0.2099	-0.5212	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-8117-01	-0.0373	0.5848	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-8119-01	0.5146	-1.0119	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-8120-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	0.4451	-0.8966	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	0.9167	-0.2284	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	0.9846	-0.6353	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47G-01	1.2137	-0.1183	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SS-01	0.5001	-0.5733	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SU-01	0.3217	0.0718	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4486-01	-0.0534	0.049	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4487-01	1.3622	-0.5433	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4488-01	-1.0317	1.243	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4490-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4494-01	-0.3978	0.0614	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4501-01	-0.6779	0.7611	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4505-01	0.1618	0.9381	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	-0.052	0.1442	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4507-01	0.3712	-0.2043	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4510-01	-0.7453	-0.035	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4512-01	-0.0265	1.1822	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-4514-01	0.5016	0.8494	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-6742-01	-0.2548	0.2583	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-6743-01	-1.2517	-0.5157	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-6744-01	-1.4886	0.0284	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-6745-01	-1.4658	0.4054	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-6761-01	-1.2531	1.9342	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-6767-01	-1.5752	0.1582	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AAQV-01	1.8226	1.1382	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR0-01	0.1742	-0.7122	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR2-01	0.4683	-0.7288	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR3-01	0.8723	-0.2147	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR4-01	0.6028	-0.0937	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	1.8137	0.267	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AARE-01	1.2262	-0.35	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AARN-01	0.8024	-0.1194	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AARO-01	0.4121	0.4648	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-49-AARR-01	0.8114	0.0029	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	2.3225	-0.6376	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5044-01	-1.277	0.0305	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5045-01	-1.4104	0.4628	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5049-01	-0.7585	-0.5408	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	-0.9531	-1.1157	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5055-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	-0.9597	-0.5135	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5068-01	-0.307	-0.0836	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5072-01	-0.9816	-0.5742	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5930-01	0.6068	-0.4994	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5931-01	0.0284	-0.7951	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	0.249	0.3862	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5933-01	0.3624	2.2444	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5935-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	0.0441	-0.6741	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5939-01	0.4227	-0.1444	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	-0.5506	0.1528	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5942-01	-0.352	0.7644	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5944-01	-0.7245	0.4865	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-5946-01	-0.4388	0.6209	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6590-01	-0.6295	-0.8952	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	-0.9356	4.9835	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6592-01	0.4262	-0.6182	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6593-01	-0.5752	0.2084	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6594-01	-0.3712	-0.5862	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6595-01	0.4886	1.2811	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6597-01	-1.1571	1.0512	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-6673-01	0.9036	0.5308	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	-0.1136	-1.6345	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-8457-01	1.2663	-0.0273	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	0.0102	0.4675	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-50-8460-01	1.6542	0.3236	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-53-7624-01	-0.4905	5.2239	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-53-7626-01	-0.8384	-0.6403	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	-0.7909	-0.8227	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-53-A4EZ-01	1.106	-0.4555	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-1592-01	0.0042	-0.664	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-1594-01	-0.4905	4.1377	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-1596-01	0.9917	-1.5741	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	-1.5795	-0.8681	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6543-01	-0.0127	0.0862	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6642-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6712-01	-0.4244	-0.4215	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6968-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6969-01	0.7769	-0.6312	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	-0.9878	-0.3642	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-55-6971-01	-1.2652	-0.7932	NA	NA
