STUDY_ID	SAMPLE_ID	TP53	EGFR	KRAS	AURKA
luad_tcga_pan_can_atlas_2018	TCGA-44-5643-01	0.8067	-0.0306	2.767	0.9381
luad_tcga_pan_can_atlas_2018	TCGA-44-5644-01	0.4483	1.1916	0.3844	0.8788
luad_tcga_pan_can_atlas_2018	TCGA-44-5645-01	0.7363	0.9333	-0.6666	-1.6397
luad_tcga_pan_can_atlas_2018	TCGA-44-6144-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-6145-01	-1.1009	-0.8152	0.0845	0.0665
luad_tcga_pan_can_atlas_2018	TCGA-44-6146-01	0.25	0.319	1.1075	-1.2199
luad_tcga_pan_can_atlas_2018	TCGA-44-6148-01	0.4656	0.5794	-1.7243	-2.2431
luad_tcga_pan_can_atlas_2018	TCGA-44-6774-01	0.7977	-0.1389	-0.5324	-0.0775
luad_tcga_pan_can_atlas_2018	TCGA-44-6775-01	-0.0565	0.8609	-0.6756	-0.0888
luad_tcga_pan_can_atlas_2018	TCGA-44-6776-01	0.3778	-0.2451	0.9153	-1.8462
luad_tcga_pan_can_atlas_2018	TCGA-44-6777-01	0.1291	0.9972	-0.1493	-0.9463
luad_tcga_pan_can_atlas_2018	TCGA-44-6778-01	0.2387	-0.634	-0.0178	0.3029
luad_tcga_pan_can_atlas_2018	TCGA-44-6779-01	0.7451	1.3794	-0.1871	-0.3337
luad_tcga_pan_can_atlas_2018	TCGA-44-7659-01	0.1769	0.6461	-0.2721	-0.8744
luad_tcga_pan_can_atlas_2018	TCGA-44-7660-01	-1.1818	-0.5973	0.2266	0.624
luad_tcga_pan_can_atlas_2018	TCGA-44-7661-01	-1.0966	0.7566	1.7358	0.8041
luad_tcga_pan_can_atlas_2018	TCGA-44-7662-01	-0.9877	0.3016	-0.3567	1.0969
luad_tcga_pan_can_atlas_2018	TCGA-44-7667-01	1.0302	-0.6376	0.6355	1.4401
luad_tcga_pan_can_atlas_2018	TCGA-44-7669-01	-0.3047	-0.1056	1.4599	1.37
luad_tcga_pan_can_atlas_2018	TCGA-44-7670-01	-0.1941	-0.4491	3.3622	1.8835
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	0.7674	-0.2932	0.1875	-0.9543
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	0.3992	0.123	1.2063	0.565
luad_tcga_pan_can_atlas_2018	TCGA-44-8117-01	-2.5938	1.107	0.7632	0.3832
luad_tcga_pan_can_atlas_2018	TCGA-44-8119-01	-1.3009	-1.1903	0.4409	1.1725
luad_tcga_pan_can_atlas_2018	TCGA-44-8120-01	-0.6381	-0.1325	-1.0479	-0.6391
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	-0.0744	0.0701	2.1347	0.8568
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	0.936	-0.1718	-0.3091	0.8028
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	-0.7299	-0.9337	1.5651	-0.0362
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	NA	NA	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47G-01	0.05	-0.1006	0.0756	-0.8758
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SS-01	0.0892	-0.5237	0.2393	-0.1592
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SU-01	-0.4532	0.9871	-1.6766	-0.954
luad_tcga_pan_can_atlas_2018	TCGA-49-4486-01	0.8585	-1.3437	-0.7509	-1.4639
luad_tcga_pan_can_atlas_2018	TCGA-49-4487-01	1.146	-0.4044	-0.111	1.396
luad_tcga_pan_can_atlas_2018	TCGA-49-4488-01	-1.8066	0.3368	0.8514	0.089
luad_tcga_pan_can_atlas_2018	TCGA-49-4490-01	-1.4034	0.002	-0.9416	-1.7705
luad_tcga_pan_can_atlas_2018	TCGA-49-4494-01	1.0044	-0.4853	-0.7633	0.167
luad_tcga_pan_can_atlas_2018	TCGA-49-4501-01	0.5468	0.748	-0.3856	-0.3033
luad_tcga_pan_can_atlas_2018	TCGA-49-4505-01	0.4277	0.3862	0.1637	-1.2929
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	-0.4082	-1.1713	-0.3909	1.5807
luad_tcga_pan_can_atlas_2018	TCGA-49-4507-01	0.7848	-1.2519	-1.6139	0.5365
luad_tcga_pan_can_atlas_2018	TCGA-49-4510-01	-0.0612	-0.807	-0.1402	-1.0893
luad_tcga_pan_can_atlas_2018	TCGA-49-4512-01	-0.0316	0.5777	0.0488	-0.0057
