STUDY_ID	SAMPLE_ID	KRAS	EGFR	AURKA	TP53
luad_cptac_2020	C3N-00546	-0.2358	1.4185	-0.3952	0.1427
luad_cptac_2020	C3N-01414	1.7586	-0.9102	0.8798	0.9845
luad_cptac_2020	C3N-02087	-0.7459	0.4937	0.864	0.3653
luad_cptac_2020	C3L-00140	-0.1083	-0.5731	-1.3056	1.8549
luad_cptac_2020	C3N-02529	0.1669	1.2915	1.7173	0.208
luad_cptac_2020	C3L-00368	2.1589	0.4247	0.07	-0.1286
luad_cptac_2020	C3N-02067	0.2001	0.968	-0.3257	-2.4653
luad_cptac_2020	C3N-02422	0.0214	-0.3396	-1.3449	0.2955
luad_cptac_2020	C3L-00080	-0.4462	-0.2255	0.6589	0.5963
luad_cptac_2020	C3N-00547	-0.2047	-0.1377	0.0624	0.1295
luad_cptac_2020	C3N-01023	0.8106	-0.9322	0.7538	0.8691
luad_cptac_2020	C3N-01024	-1.7079	-0.6556	0.903	0.89
luad_cptac_2020	C3L-00973	0.5986	-0.8666	-0.8806	-1.1647
luad_cptac_2020	C3L-02348	-0.9409	-0.3574	-1.0545	0.5781
luad_cptac_2020	C3L-02508	-0.7477	-1.6597	-1.3005	-0.03
luad_cptac_2020	C3N-00560	-0.74	-2.3017	1.3207	1.0776
luad_cptac_2020	C3L-00604	-0.8773	0.1273	-0.2255	1.0028
luad_cptac_2020	C3N-00199	-0.4466	1.2933	0.7578	-1.5073
luad_cptac_2020	C3N-00579	-0.3458	0.2228	1.0629	0.2522
luad_cptac_2020	C3N-02582	1.0638	1.7882	-0.2069	-0.5853
luad_cptac_2020	C3L-02350	-0.3674	-0.9044	-1.4252	-0.7105
luad_cptac_2020	C3N-00738	-0.0238	-0.7647	-1.9014	-0.1012
luad_cptac_2020	C3N-00959	0.0321	-0.8111	-1.1024	-1.7483
luad_cptac_2020	C3N-02003	-1.1574	-0.6088	1.6494	1.5737
luad_cptac_2020	C3N-00175	0.2375	0.5737	-1.2568	1.2573
luad_cptac_2020	C3N-01823	1.7384	-0.3237	1.3497	-1.4441
luad_cptac_2020	C3L-02549	1.2578	-0.8266	-0.1296	-0.6741
luad_cptac_2020	C3L-02365	-1.0494	0.1965	0.6779	1.3773
