STUDY_ID	SAMPLE_ID	AURKA	TP53	KRAS	EGFR
luad_oncosg_2020	A193	2.0428	-0.0035	1.4219	-0.1846
luad_oncosg_2020	A194	-0.7157	-0.1384	0.772	-0.518
luad_oncosg_2020	A195	-0.2217	0.3627	1.2907	-1.5098
luad_oncosg_2020	A196	-0.2733	0.3499	0.3341	-0.7017
luad_oncosg_2020	A197	1.743	1.3558	-0.0861	-0.0666
luad_oncosg_2020	A198	1.5601	0.7084	1.5068	-1.6244
luad_oncosg_2020	A199	0.1556	-1.2467	-0.1565	3.2051
luad_oncosg_2020	A200	1.18	-0.806	0.0708	0.3392
luad_oncosg_2020	A201	-1.5243	-0.0596	0.4591	-1.2317
luad_oncosg_2020	A202	0.5647	1.1418	0.7302	0.4782
luad_oncosg_2020	A203	0.0946	0.0425	0.9165	-0.1778
luad_oncosg_2020	A204	-0.4929	1.7448	0.6161	-0.1884
luad_oncosg_2020	A205	-0.7852	-1.3148	0.7041	-0.3539
luad_oncosg_2020	A206	0.1851	-0.9785	0.1154	-0.6596
luad_oncosg_2020	A207	0.7645	1.2897	1.3771	2.9117
luad_oncosg_2020	A208	-0.1258	0.6396	0.4422	0.1292
luad_oncosg_2020	A209	-1.1197	0.9895	-0.1527	-1.4242
luad_oncosg_2020	A210	2.2263	-1.8754	2.1024	0.5289
luad_oncosg_2020	A211	-0.9086	0.0541	0.1749	-0.4344
luad_oncosg_2020	A212	-2.1728	-0.4752	0.3379	-0.2543
luad_oncosg_2020	A213	-1.467	-0.2408	0.9933	0.8436
luad_oncosg_2020	A214	0.1003	0.6917	-1.2712	-1.9497
luad_oncosg_2020	A215	-1.2921	-0.3403	-0.2791	-0.54
luad_oncosg_2020	A216	2.2055	0.0961	-0.4799	-1.9457
luad_oncosg_2020	A217	-1.3612	-0.2466	0.2754	0.0212
luad_oncosg_2020	A218	0.2685	0.832	1.0229	-1.3336
luad_oncosg_2020	A219	0.3176	1.3023	0.2655	0.1424
luad_oncosg_2020	A220	0.5333	-1.8039	-0.5926	-0.0293
luad_oncosg_2020	A221	-1.8167	-0.6068	0.4964	0.0035
luad_oncosg_2020	A222	0.0538	-0.3116	0.2377	0.9741
luad_oncosg_2020	A224	NA	NA	NA	NA
luad_oncosg_2020	A227	NA	NA	NA	NA
luad_oncosg_2020	A228	NA	NA	NA	NA
luad_oncosg_2020	A229	NA	NA	NA	NA
luad_oncosg_2020	A230	NA	NA	NA	NA
luad_oncosg_2020	A231	NA	NA	NA	NA
luad_oncosg_2020	A232	-0.5169	1.7662	-0.13	0.0335
luad_oncosg_2020	A247	0.253	0.0689	-0.8825	-1.1274
luad_oncosg_2020	A241	0.5564	0.0651	-0.9263	-1.1441
