STUDY_ID	SAMPLE_ID	KRAS	TP53	AURKA	EGFR
luad_cptac_2020	C3N-00546	-0.2358	0.1427	-0.3952	1.4185
luad_cptac_2020	C3N-01414	1.7586	0.9845	0.8798	-0.9102
luad_cptac_2020	C3N-02087	-0.7459	0.3653	0.864	0.4937
luad_cptac_2020	C3L-00140	-0.1083	1.8549	-1.3056	-0.5731
luad_cptac_2020	C3N-02529	0.1669	0.208	1.7173	1.2915
luad_cptac_2020	C3L-00368	2.1589	-0.1286	0.07	0.4247
luad_cptac_2020	C3N-02067	0.2001	-2.4653	-0.3257	0.968
luad_cptac_2020	C3N-02422	0.0214	0.2955	-1.3449	-0.3396
luad_cptac_2020	C3L-00080	-0.4462	0.5963	0.6589	-0.2255
luad_cptac_2020	C3N-00547	-0.2047	0.1295	0.0624	-0.1377
luad_cptac_2020	C3N-01023	0.8106	0.8691	0.7538	-0.9322
luad_cptac_2020	C3N-01024	-1.7079	0.89	0.903	-0.6556
luad_cptac_2020	C3L-00973	0.5986	-1.1647	-0.8806	-0.8666
luad_cptac_2020	C3L-02348	-0.9409	0.5781	-1.0545	-0.3574
luad_cptac_2020	C3L-02508	-0.7477	-0.03	-1.3005	-1.6597
luad_cptac_2020	C3N-00560	-0.74	1.0776	1.3207	-2.3017
luad_cptac_2020	C3L-00604	-0.8773	1.0028	-0.2255	0.1273
luad_cptac_2020	C3N-00199	-0.4466	-1.5073	0.7578	1.2933
luad_cptac_2020	C3N-00579	-0.3458	0.2522	1.0629	0.2228
luad_cptac_2020	C3N-02582	1.0638	-0.5853	-0.2069	1.7882
luad_cptac_2020	C3L-02350	-0.3674	-0.7105	-1.4252	-0.9044
luad_cptac_2020	C3N-00738	-0.0238	-0.1012	-1.9014	-0.7647
luad_cptac_2020	C3N-00959	0.0321	-1.7483	-1.1024	-0.8111
luad_cptac_2020	C3N-02003	-1.1574	1.5737	1.6494	-0.6088
luad_cptac_2020	C3N-00175	0.2375	1.2573	-1.2568	0.5737
luad_cptac_2020	C3N-01823	1.7384	-1.4441	1.3497	-0.3237
luad_cptac_2020	C3L-02549	1.2578	-0.6741	-0.1296	-0.8266
luad_cptac_2020	C3L-02365	-1.0494	1.3773	0.6779	0.1965
