STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-44-7671-01	-0.9543	-0.2932
luad_tcga_pan_can_atlas_2018	TCGA-44-7672-01	0.565	0.123
luad_tcga_pan_can_atlas_2018	TCGA-44-8119-01	1.1725	-1.1903
luad_tcga_pan_can_atlas_2018	TCGA-44-8120-01	-0.6391	-0.1325
luad_tcga_pan_can_atlas_2018	TCGA-44-A479-01	0.8568	0.0701
luad_tcga_pan_can_atlas_2018	TCGA-44-A47A-01	0.8028	-0.1718
luad_tcga_pan_can_atlas_2018	TCGA-44-A47B-01	-0.0362	-0.9337
luad_tcga_pan_can_atlas_2018	TCGA-44-A47F-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-44-A47G-01	-0.8758	-0.1006
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SS-01	-0.1592	-0.5237
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SU-01	-0.954	0.9871
luad_tcga_pan_can_atlas_2018	TCGA-49-4486-01	-1.4639	-1.3437
luad_tcga_pan_can_atlas_2018	TCGA-49-4487-01	1.396	-0.4044
luad_tcga_pan_can_atlas_2018	TCGA-49-4488-01	0.089	0.3368
luad_tcga_pan_can_atlas_2018	TCGA-49-4490-01	-1.7705	0.002
luad_tcga_pan_can_atlas_2018	TCGA-49-4494-01	0.167	-0.4853
luad_tcga_pan_can_atlas_2018	TCGA-49-4501-01	-0.3033	0.748
luad_tcga_pan_can_atlas_2018	TCGA-49-4505-01	-1.2929	0.3862
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	1.5807	-1.1713
luad_tcga_pan_can_atlas_2018	TCGA-49-4507-01	0.5365	-1.2519
luad_tcga_pan_can_atlas_2018	TCGA-49-4510-01	-1.0893	-0.807
luad_tcga_pan_can_atlas_2018	TCGA-49-4512-01	-0.0057	0.5777
luad_tcga_pan_can_atlas_2018	TCGA-49-4514-01	1.4776	-1.0755
luad_tcga_pan_can_atlas_2018	TCGA-49-6742-01	1.5925	-0.7202
luad_tcga_pan_can_atlas_2018	TCGA-49-6743-01	0.7302	0.1471
luad_tcga_pan_can_atlas_2018	TCGA-49-6744-01	-0.68	0.0887
luad_tcga_pan_can_atlas_2018	TCGA-49-6745-01	0.4754	0.6501
luad_tcga_pan_can_atlas_2018	TCGA-49-6761-01	0.5786	1.9506
luad_tcga_pan_can_atlas_2018	TCGA-49-6767-01	1.4281	0.2091
luad_tcga_pan_can_atlas_2018	TCGA-49-AAQV-01	0.1243	0.3092
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR0-01	0.3158	-1.2357
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR2-01	0.3211	-3.2933
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR3-01	1.0882	-0.6014
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR4-01	0.153	-0.8502
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	1.1977	-1.367
luad_tcga_pan_can_atlas_2018	TCGA-49-AARE-01	-0.0797	-2.8053
luad_tcga_pan_can_atlas_2018	TCGA-49-AARN-01	-0.1633	-0.3109
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	1.1134	-0.2773
luad_tcga_pan_can_atlas_2018	TCGA-49-AARR-01	-2.1477	-0.1301
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	1.1702	-1.0534
luad_tcga_pan_can_atlas_2018	TCGA-50-5044-01	0.8053	-1.5707
luad_tcga_pan_can_atlas_2018	TCGA-50-5045-01	0.0653	-1.041
luad_tcga_pan_can_atlas_2018	TCGA-50-5049-01	0.6469	-0.9599
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	0.3551	-1.9487
luad_tcga_pan_can_atlas_2018	TCGA-50-5055-01	-0.7208	-1.5805
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	1.0335	-2.0108
luad_tcga_pan_can_atlas_2018	TCGA-50-5068-01	-0.4349	-1.928
luad_tcga_pan_can_atlas_2018	TCGA-50-5072-01	1.6219	-0.0244
luad_tcga_pan_can_atlas_2018	TCGA-50-5930-01	-0.3453	-0.7126
luad_tcga_pan_can_atlas_2018	TCGA-50-5931-01	0.6594	-0.3546
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	-0.3929	0.7609
luad_tcga_pan_can_atlas_2018	TCGA-50-5935-01	-0.242	0.433
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	-0.3852	0.3269
luad_tcga_pan_can_atlas_2018	TCGA-50-5939-01	0.3866	2.9818
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	0.6337	0.4821
luad_tcga_pan_can_atlas_2018	TCGA-50-5942-01	-2.0617	1.3695
luad_tcga_pan_can_atlas_2018	TCGA-50-5944-01	0.1507	1.3104
luad_tcga_pan_can_atlas_2018	TCGA-50-5946-01	1.1785	1.1465
luad_tcga_pan_can_atlas_2018	TCGA-50-6590-01	1.5217	1.3073
luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	2.3429	3.1074
luad_tcga_pan_can_atlas_2018	TCGA-50-6592-01	1.2862	-0.3317
luad_tcga_pan_can_atlas_2018	TCGA-50-6593-01	-0.0304	0.4196
luad_tcga_pan_can_atlas_2018	TCGA-50-6594-01	0.7868	-0.3111
luad_tcga_pan_can_atlas_2018	TCGA-50-6595-01	1.3219	1.7539
luad_tcga_pan_can_atlas_2018	TCGA-50-6597-01	-0.7883	0.0364
luad_tcga_pan_can_atlas_2018	TCGA-50-6673-01	0.066	2.116
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	1.1685	-0.9767
luad_tcga_pan_can_atlas_2018	TCGA-50-8457-01	-2.0467	0.8085
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	-1.0229	-0.4206
luad_tcga_pan_can_atlas_2018	TCGA-50-8460-01	-0.5663	0.0097
luad_tcga_pan_can_atlas_2018	TCGA-53-7624-01	1.3143	2.9267
luad_tcga_pan_can_atlas_2018	TCGA-53-7626-01	-0.7494	0.7945
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	0.6291	-0.8782
luad_tcga_pan_can_atlas_2018	TCGA-53-A4EZ-01	1.6166	-0.8562
luad_tcga_pan_can_atlas_2018	TCGA-55-1592-01	-0.304	-1.8633
luad_tcga_pan_can_atlas_2018	TCGA-55-1594-01	1.6117	2.8935
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	0.5388	-0.6045
luad_tcga_pan_can_atlas_2018	TCGA-55-1596-01	1.0343	-3.3731
luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	1.5429	-0.1777
luad_tcga_pan_can_atlas_2018	TCGA-55-6543-01	-1.644	0.4649
luad_tcga_pan_can_atlas_2018	TCGA-55-6712-01	-0.0047	0.8191
luad_tcga_pan_can_atlas_2018	TCGA-55-6968-01	1.5044	-1.8193
luad_tcga_pan_can_atlas_2018	TCGA-55-6969-01	1.0448	-1.3872
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	0.4034	-0.2977
luad_tcga_pan_can_atlas_2018	TCGA-55-6971-01	-0.1122	-0.3872
luad_tcga_pan_can_atlas_2018	TCGA-55-6972-01	0.0109	-0.8385
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	1.3166	-0.0893
luad_tcga_pan_can_atlas_2018	TCGA-55-6978-01	0.9366	0.2084
luad_tcga_pan_can_atlas_2018	TCGA-55-6979-01	0.4937	0.6269
luad_tcga_pan_can_atlas_2018	TCGA-55-6980-01	-1.5609	0.4655
luad_tcga_pan_can_atlas_2018	TCGA-55-6981-01	0.0779	2.2268
luad_tcga_pan_can_atlas_2018	TCGA-55-6982-01	0.3011	0.5806
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	-1.1881	-0.7349
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	-0.3369	-0.5567
luad_tcga_pan_can_atlas_2018	TCGA-55-6985-01	0.1326	0.4897
luad_tcga_pan_can_atlas_2018	TCGA-55-6986-01	-0.9483	-0.0364
luad_tcga_pan_can_atlas_2018	TCGA-55-6987-01	0.0752	-1.2119
luad_tcga_pan_can_atlas_2018	TCGA-55-7227-01	-0.8103	0.0993
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	-0.8118	-0.8306
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	-0.5428	0.7768
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	-1.1732	0.3218
luad_tcga_pan_can_atlas_2018	TCGA-55-7570-01	1.4968	-3.6964
luad_tcga_pan_can_atlas_2018	TCGA-55-7573-01	-1.6873	0.6322
luad_tcga_pan_can_atlas_2018	TCGA-55-7574-01	-0.4602	-0.3635
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	0.1751	0.3035
luad_tcga_pan_can_atlas_2018	TCGA-55-7724-01	0.1801	0.8326
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	-0.8468	0.4565
luad_tcga_pan_can_atlas_2018	TCGA-55-7727-01	0.5796	0.309
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	-1.0041	-1.297
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	0.2021	-1.1279
luad_tcga_pan_can_atlas_2018	TCGA-55-7816-01	-1.3651	0.5283
luad_tcga_pan_can_atlas_2018	TCGA-55-7903-01	0.6196	0.2593
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	0.0725	-0.3149
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	1.6774	-0.921
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	0.3489	-0.3503
luad_tcga_pan_can_atlas_2018	TCGA-55-7913-01	1.1991	-0.3606
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	-0.2537	-0.0189
luad_tcga_pan_can_atlas_2018	TCGA-55-7994-01	0.8227	1.0607
luad_tcga_pan_can_atlas_2018	TCGA-55-7995-01	0.5933	0.2011
luad_tcga_pan_can_atlas_2018	TCGA-55-8085-01	0.6172	-0.164
luad_tcga_pan_can_atlas_2018	TCGA-55-8087-01	-1.9189	0.2524
luad_tcga_pan_can_atlas_2018	TCGA-55-8089-01	0.8951	2.8298
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	-0.3657	0.5632
luad_tcga_pan_can_atlas_2018	TCGA-55-8091-01	-1.0062	0.7194
luad_tcga_pan_can_atlas_2018	TCGA-55-8092-01	0.3605	-0.9641
luad_tcga_pan_can_atlas_2018	TCGA-55-8094-01	1.4646	-4.1026
luad_tcga_pan_can_atlas_2018	TCGA-55-8096-01	-0.7697	1.8934
luad_tcga_pan_can_atlas_2018	TCGA-55-8097-01	-0.7491	0.1452
luad_tcga_pan_can_atlas_2018	TCGA-55-8203-01	0.1689	-0.2905
luad_tcga_pan_can_atlas_2018	TCGA-55-8204-01	-0.0121	0.4459
luad_tcga_pan_can_atlas_2018	TCGA-55-8205-01	1.0771	0.4945
luad_tcga_pan_can_atlas_2018	TCGA-55-8206-01	-0.2428	0.9965
luad_tcga_pan_can_atlas_2018	TCGA-55-8208-01	-0.0394	-1.1215
luad_tcga_pan_can_atlas_2018	TCGA-55-8299-01	-0.0246	0.0406
luad_tcga_pan_can_atlas_2018	TCGA-55-8301-01	0.2953	0.3538
luad_tcga_pan_can_atlas_2018	TCGA-55-8302-01	0.5542	-0.2483
luad_tcga_pan_can_atlas_2018	TCGA-55-8505-01	0.713	-0.4273
luad_tcga_pan_can_atlas_2018	TCGA-55-8506-01	0.4457	0.7084
luad_tcga_pan_can_atlas_2018	TCGA-55-8507-01	0.6055	-0.9008
luad_tcga_pan_can_atlas_2018	TCGA-55-8508-01	-0.1521	0.4239
luad_tcga_pan_can_atlas_2018	TCGA-55-8510-01	0.0652	0.1838
luad_tcga_pan_can_atlas_2018	TCGA-55-8511-01	-0.0442	0.7154
luad_tcga_pan_can_atlas_2018	TCGA-55-8512-01	-2.1567	0.1372
luad_tcga_pan_can_atlas_2018	TCGA-55-8513-01	-1.5335	-0.1528
luad_tcga_pan_can_atlas_2018	TCGA-55-8614-01	-0.3241	0.714
luad_tcga_pan_can_atlas_2018	TCGA-55-8615-01	-0.485	-0.0634
luad_tcga_pan_can_atlas_2018	TCGA-55-8616-01	-0.7664	0.8396
luad_tcga_pan_can_atlas_2018	TCGA-55-8619-01	-1.2996	-0.1282
luad_tcga_pan_can_atlas_2018	TCGA-55-8620-01	1.2318	-3.0795
luad_tcga_pan_can_atlas_2018	TCGA-55-8621-01	-0.8065	0.0448
luad_tcga_pan_can_atlas_2018	TCGA-55-A48X-01	-0.7455	0.5554
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Y-01	0.2683	-0.2935
luad_tcga_pan_can_atlas_2018	TCGA-55-A48Z-01	0.2519	1.2856
luad_tcga_pan_can_atlas_2018	TCGA-55-A491-01	-0.8799	-0.2438
luad_tcga_pan_can_atlas_2018	TCGA-55-A492-01	-1.4974	-2.1338
luad_tcga_pan_can_atlas_2018	TCGA-55-A493-01	1.5171	1.2086
luad_tcga_pan_can_atlas_2018	TCGA-55-A494-01	-0.3645	0.3305
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DF-01	1.2992	-1.3793
luad_tcga_pan_can_atlas_2018	TCGA-55-A4DG-01	-1.1626	0.8377
luad_tcga_pan_can_atlas_2018	TCGA-55-A57B-01	-1.2136	1.85
luad_tcga_pan_can_atlas_2018	TCGA-62-8394-01	0.6576	0.5478
luad_tcga_pan_can_atlas_2018	TCGA-62-8395-01	1.1119	0.5946
luad_tcga_pan_can_atlas_2018	TCGA-62-8397-01	-0.9857	1.7423
luad_tcga_pan_can_atlas_2018	TCGA-62-8398-01	0.6631	-0.7075
luad_tcga_pan_can_atlas_2018	TCGA-62-8399-01	-0.0726	0.7763
luad_tcga_pan_can_atlas_2018	TCGA-62-8402-01	0.8086	0.5489
luad_tcga_pan_can_atlas_2018	TCGA-62-A46O-01	1.1292	0.562
luad_tcga_pan_can_atlas_2018	TCGA-62-A46P-01	-0.1909	-1.4231
luad_tcga_pan_can_atlas_2018	TCGA-62-A46S-01	1.2069	-1.301
luad_tcga_pan_can_atlas_2018	TCGA-62-A46U-01	0.3129	0.9328
luad_tcga_pan_can_atlas_2018	TCGA-62-A46V-01	-0.1625	0.283
luad_tcga_pan_can_atlas_2018	TCGA-62-A46Y-01	-0.383	0.3067
luad_tcga_pan_can_atlas_2018	TCGA-62-A470-01	0.3804	-0.9731
luad_tcga_pan_can_atlas_2018	TCGA-62-A471-01	1.7054	-1.6827
luad_tcga_pan_can_atlas_2018	TCGA-62-A472-01	0.0352	0.4352
luad_tcga_pan_can_atlas_2018	TCGA-64-1676-01	0.4142	-0.5949
luad_tcga_pan_can_atlas_2018	TCGA-64-1677-01	0.8737	-1.2296
luad_tcga_pan_can_atlas_2018	TCGA-64-1678-01	1.5929	-2.3074
luad_tcga_pan_can_atlas_2018	TCGA-64-1679-01	-0.0187	0.8332
luad_tcga_pan_can_atlas_2018	TCGA-64-1680-01	-1.0959	-0.5003
luad_tcga_pan_can_atlas_2018	TCGA-64-1681-01	-0.2954	0.4539
luad_tcga_pan_can_atlas_2018	TCGA-64-5775-01	0.6184	0.0448
luad_tcga_pan_can_atlas_2018	TCGA-64-5778-01	0.2742	-1.2961
luad_tcga_pan_can_atlas_2018	TCGA-64-5779-01	0.7763	-0.747
luad_tcga_pan_can_atlas_2018	TCGA-64-5781-01	0.7662	-0.4802
luad_tcga_pan_can_atlas_2018	TCGA-64-5815-01	-0.2813	0.1952
luad_tcga_pan_can_atlas_2018	TCGA-67-3770-01	-1.8646	0.4981
luad_tcga_pan_can_atlas_2018	TCGA-67-3771-01	0.68	-0.7253
luad_tcga_pan_can_atlas_2018	TCGA-67-3772-01	-1.1769	-0.0191
luad_tcga_pan_can_atlas_2018	TCGA-67-3773-01	-1.7754	-0.3152
luad_tcga_pan_can_atlas_2018	TCGA-67-3774-01	-0.6176	-1.1358
luad_tcga_pan_can_atlas_2018	TCGA-67-4679-01	-1.7162	0.2972
luad_tcga_pan_can_atlas_2018	TCGA-67-6215-01	-0.2905	0.4501
luad_tcga_pan_can_atlas_2018	TCGA-67-6216-01	-1.7756	0.1631
luad_tcga_pan_can_atlas_2018	TCGA-67-6217-01	-1.8788	1.2692
luad_tcga_pan_can_atlas_2018	TCGA-69-7760-01	0.5	1.5658
luad_tcga_pan_can_atlas_2018	TCGA-69-7761-01	0.4738	-0.3528
luad_tcga_pan_can_atlas_2018	TCGA-69-7763-01	-0.5772	-1.1753
luad_tcga_pan_can_atlas_2018	TCGA-69-7764-01	1.1741	0.3013
luad_tcga_pan_can_atlas_2018	TCGA-69-7765-01	-0.343	0.6159
luad_tcga_pan_can_atlas_2018	TCGA-69-7973-01	1.2275	-0.1783
luad_tcga_pan_can_atlas_2018	TCGA-69-7974-01	0.3763	0.3247
luad_tcga_pan_can_atlas_2018	TCGA-69-7978-01	0.5948	0.6659
luad_tcga_pan_can_atlas_2018	TCGA-69-7979-01	0.2049	0.1009
luad_tcga_pan_can_atlas_2018	TCGA-69-7980-01	-0.4134	-0.059
luad_tcga_pan_can_atlas_2018	TCGA-69-8253-01	-0.3526	-1.0509
luad_tcga_pan_can_atlas_2018	TCGA-69-8254-01	-1.4093	0.2926
luad_tcga_pan_can_atlas_2018	TCGA-69-8255-01	3.7382	1.1116
luad_tcga_pan_can_atlas_2018	TCGA-69-8453-01	-0.6579	-0.3713
luad_tcga_pan_can_atlas_2018	TCGA-69-A59K-01	-0.3498	0.2606
luad_tcga_pan_can_atlas_2018	TCGA-71-6725-01	0.1148	0.554
luad_tcga_pan_can_atlas_2018	TCGA-71-8520-01	-0.1743	1.275
luad_tcga_pan_can_atlas_2018	TCGA-73-4658-01	-0.3139	0.3344
luad_tcga_pan_can_atlas_2018	TCGA-73-4659-01	0.4939	-0.5809
luad_tcga_pan_can_atlas_2018	TCGA-73-4662-01	-0.1986	0.7661
luad_tcga_pan_can_atlas_2018	TCGA-73-4666-01	1.3266	0.4606
luad_tcga_pan_can_atlas_2018	TCGA-73-4668-01	0.248	0.8293
luad_tcga_pan_can_atlas_2018	TCGA-73-4670-01	1.2625	0.1248
luad_tcga_pan_can_atlas_2018	TCGA-73-4675-01	-1.6428	-0.7434
luad_tcga_pan_can_atlas_2018	TCGA-73-4676-01	0.7747	0.4341
luad_tcga_pan_can_atlas_2018	TCGA-73-4677-01	-1.2718	-0.2176
luad_tcga_pan_can_atlas_2018	TCGA-73-7498-01	-1.8578	0.0267
luad_tcga_pan_can_atlas_2018	TCGA-73-7499-01	0.9415	-0.4119
luad_tcga_pan_can_atlas_2018	TCGA-73-A9RS-01	1.5247	-0.6841
luad_tcga_pan_can_atlas_2018	TCGA-75-5122-01	0.1607	-0.3461
luad_tcga_pan_can_atlas_2018	TCGA-75-5125-01	1.0576	-0.3915
luad_tcga_pan_can_atlas_2018	TCGA-75-5126-01	1.0525	-0.0666
luad_tcga_pan_can_atlas_2018	TCGA-75-5146-01	-1.5022	-1.135
luad_tcga_pan_can_atlas_2018	TCGA-75-5147-01	0.2829	-0.7349
luad_tcga_pan_can_atlas_2018	TCGA-75-6203-01	-1.3082	0.0839
luad_tcga_pan_can_atlas_2018	TCGA-75-6205-01	0.0839	0.8972
luad_tcga_pan_can_atlas_2018	TCGA-75-6206-01	-1.946	0.0647
luad_tcga_pan_can_atlas_2018	TCGA-75-6207-01	0.0537	1.3068
luad_tcga_pan_can_atlas_2018	TCGA-75-6211-01	0.7482	0.5138
luad_tcga_pan_can_atlas_2018	TCGA-75-6212-01	-0.8252	1.0358
luad_tcga_pan_can_atlas_2018	TCGA-75-6214-01	0.8644	2.0571
luad_tcga_pan_can_atlas_2018	TCGA-75-7025-01	-1.7807	0.6521
luad_tcga_pan_can_atlas_2018	TCGA-75-7027-01	0.9228	-1.1459
luad_tcga_pan_can_atlas_2018	TCGA-75-7030-01	-2.2303	-0.0389
luad_tcga_pan_can_atlas_2018	TCGA-75-7031-01	-0.1153	-0.7117
luad_tcga_pan_can_atlas_2018	TCGA-78-7143-01	-0.043	0.6382
luad_tcga_pan_can_atlas_2018	TCGA-78-7145-01	0.6529	0.1529
luad_tcga_pan_can_atlas_2018	TCGA-78-7146-01	0.8359	1.0848
luad_tcga_pan_can_atlas_2018	TCGA-78-7147-01	-0.1313	1.2201
luad_tcga_pan_can_atlas_2018	TCGA-78-7148-01	-0.04	-0.2766
luad_tcga_pan_can_atlas_2018	TCGA-78-7149-01	-1.0313	-1.458
luad_tcga_pan_can_atlas_2018	TCGA-78-7150-01	1.6707	-0.0096
luad_tcga_pan_can_atlas_2018	TCGA-78-7152-01	-0.794	-1.138
luad_tcga_pan_can_atlas_2018	TCGA-78-7153-01	0.5903	-1.325
luad_tcga_pan_can_atlas_2018	TCGA-78-7154-01	1.392	-0.2616
luad_tcga_pan_can_atlas_2018	TCGA-78-7155-01	1.8317	-2.227
luad_tcga_pan_can_atlas_2018	TCGA-78-7156-01	-1.9081	-0.5134
luad_tcga_pan_can_atlas_2018	TCGA-78-7158-01	-0.891	0.1714
luad_tcga_pan_can_atlas_2018	TCGA-78-7159-01	0.3433	0.3395
luad_tcga_pan_can_atlas_2018	TCGA-78-7160-01	-0.3968	-0.4217
luad_tcga_pan_can_atlas_2018	TCGA-78-7161-01	-0.1609	-0.7673
