STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-64-5774-01	1.2396	0.8958
luad_tcga_pan_can_atlas_2018	TCGA-64-5775-01	0.6184	0.0448
luad_tcga_pan_can_atlas_2018	TCGA-64-5778-01	0.2742	-1.2961
luad_tcga_pan_can_atlas_2018	TCGA-64-5815-01	-0.2813	0.1952
luad_tcga_pan_can_atlas_2018	TCGA-67-3773-01	-1.7754	-0.3152
luad_tcga_pan_can_atlas_2018	TCGA-67-3774-01	-0.6176	-1.1358
luad_tcga_pan_can_atlas_2018	TCGA-67-4679-01	-1.7162	0.2972
luad_tcga_pan_can_atlas_2018	TCGA-69-7973-01	1.2275	-0.1783
luad_tcga_pan_can_atlas_2018	TCGA-69-7974-01	0.3763	0.3247
luad_tcga_pan_can_atlas_2018	TCGA-69-7978-01	0.5948	0.6659
luad_tcga_pan_can_atlas_2018	TCGA-69-7980-01	-0.4134	-0.059
luad_tcga_pan_can_atlas_2018	TCGA-69-8253-01	-0.3526	-1.0509
luad_tcga_pan_can_atlas_2018	TCGA-69-8254-01	-1.4093	0.2926
luad_tcga_pan_can_atlas_2018	TCGA-69-8255-01	3.7382	1.1116
luad_tcga_pan_can_atlas_2018	TCGA-73-4662-01	-0.1986	0.7661
luad_tcga_pan_can_atlas_2018	TCGA-73-4670-01	1.2625	0.1248
luad_tcga_pan_can_atlas_2018	TCGA-73-4677-01	-1.2718	-0.2176
luad_tcga_pan_can_atlas_2018	TCGA-73-7498-01	-1.8578	0.0267
luad_tcga_pan_can_atlas_2018	TCGA-75-5126-01	1.0525	-0.0666
luad_tcga_pan_can_atlas_2018	TCGA-75-6206-01	-1.946	0.0647
luad_tcga_pan_can_atlas_2018	TCGA-75-7027-01	0.9228	-1.1459
luad_tcga_pan_can_atlas_2018	TCGA-75-7030-01	-2.2303	-0.0389
luad_tcga_pan_can_atlas_2018	TCGA-78-7145-01	0.6529	0.1529
luad_tcga_pan_can_atlas_2018	TCGA-78-7148-01	-0.04	-0.2766
luad_tcga_pan_can_atlas_2018	TCGA-78-7155-01	1.8317	-2.227
luad_tcga_pan_can_atlas_2018	TCGA-78-7160-01	-0.3968	-0.4217
luad_tcga_pan_can_atlas_2018	TCGA-78-7161-01	-0.1609	-0.7673
luad_tcga_pan_can_atlas_2018	TCGA-78-7166-01	0.5316	-1.5612
luad_tcga_pan_can_atlas_2018	TCGA-78-7167-01	-1.77	-0.4279
