STUDY_ID	SAMPLE_ID	AURKA	EGFR
luad_tcga_pan_can_atlas_2018	TCGA-93-8067-01	1.2925	-0.3594
luad_tcga_pan_can_atlas_2018	TCGA-93-A4JP-01	-0.1398	0.5334
luad_tcga_pan_can_atlas_2018	TCGA-95-7947-01	0.755	-0.0583
luad_tcga_pan_can_atlas_2018	TCGA-97-8171-01	0.0856	0.7652
luad_tcga_pan_can_atlas_2018	TCGA-97-8172-01	-1.4313	-0.0795
luad_tcga_pan_can_atlas_2018	TCGA-97-8177-01	-0.6039	0.0135
luad_tcga_pan_can_atlas_2018	TCGA-97-8547-01	-0.6462	0.9317
luad_tcga_pan_can_atlas_2018	TCGA-97-8552-01	-1.0205	0.3557
luad_tcga_pan_can_atlas_2018	TCGA-97-A4M1-01	-0.8108	0.2201
luad_tcga_pan_can_atlas_2018	TCGA-97-A4M6-01	-0.8915	0.0513
luad_tcga_pan_can_atlas_2018	TCGA-97-A4M7-01	-1.0047	1.0429
luad_tcga_pan_can_atlas_2018	TCGA-99-8033-01	1.1112	0.6167
luad_tcga_pan_can_atlas_2018	TCGA-J2-8192-01	-1.5195	1.3225
luad_tcga_pan_can_atlas_2018	TCGA-L9-A50W-01	-1.3917	0.6835
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4SW-01	-0.8923	0.9991
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4T6-01	-1.2524	0.8491
luad_tcga_pan_can_atlas_2018	TCGA-MP-A4T9-01	-0.376	1.5983
luad_tcga_pan_can_atlas_2018	TCGA-NJ-A55R-01	1.3536	-0.8512
luad_tcga_pan_can_atlas_2018	TCGA-17-Z032-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z047-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z026-01	NA	NA
luad_tcga_pan_can_atlas_2018	TCGA-17-Z048-01	NA	NA
